Skill,Skill Code,Description,Guidance Notes,Category,Sub-category,Levels,Assignee,Status,Label
11 - Business process improvement,BPRE,Creating new and potentially disruptive approaches to performing business activities.,"Activities may include — but are not limited to:
- analysing and designing business processes to improve business performance, create business opportunities, deliver new or improved products/services, or improve product/service value chains. Including the adoption and exploitation of data, information, new or existing technologies and cloud-based services
- identifying and implementing improvements to business models, business operations and services with improved processes
- assessing the costs and potential benefits of new approaches to the organisation and all stakeholders
- developing enterprise business process management capabilities to increase organisational agility and responsiveness to change.
",Development and implementation,Content management,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
12 - Business situation analysis,BUSA,Investigating business situations to define recommendations for improvement action.,"Activities may include — but are not limited to:
- planning for business situation analysis
- establishing the investigative approach 
- engaging with relevant stakeholders
- reviewing the strategic context, including the organisation’s vision, mission, objectives, strategy and tactics and external business environment
- defining problems and analysing root causes
- identifying potential changes to address problems or to take advantage of opportunities
- gaining agreement to conclusions and recommendations.
",Development and implementation,Content management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
13 - Capacity management,CPMG,Ensuring that service components have the capacity and performance to meet current and planned business needs.,"Service components include — but are not limited to — hardware, software, network resources and software/infrastructure as a service.
Activities may include — but are not limited to:
- planning, design and management of the capability, performance, functionality and sustainability of service components to meet business needs
- modelling long-term changes and short-term variations in the level of capacity required to execute the service
- implementing capacity management practices to support cloud-based services
- deployment of techniques to control the demand and add/reduce capacity in a cost-effective, timely manner to meet changes in demand.
",Development and implementation,Content management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
14 - Certification scheme operation,CSOP,"Designing, developing and operating certification schemes, accreditations and credentials, including digital credentials or badges.","The overall purpose of certification of persons is to recognise an individual's competence to perform a task or job or determine whether they have met some knowledge criteria.
Knowledge and competence are different and the two terms should not be confused. A certification body has the responsibility to ensure that only people who demonstrate competence are awarded competence certification. 
Certification of people provides value through public confidence and trust. Public confidence relies on a valid assessment of competence by a third party, reconfirmed at defined intervals. The certification body should act responsibly to provide confidence to interested parties in its competence, impartiality and integrity.
Activities may include — but are not limited to:
- verifying on request whether an individual holds a currently valid certificate and the scope of that certification, except where the law prevents the information from being disclosed
- documenting security policies and procedures, including non-disclosure or other agreements not to release confidential examination materials or participate in fraudulent practices
- implementing arrangements for certified persons to inform the certification body of anything affecting capability to continue meeting certification requirements.
",Development and implementation,Content management,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
15 - Change control,CHMG,"Assessing risks associated with proposed changes and ensuring changes to products, services or systems are controlled and coordinated.","Change control is applied to anything that impacts live products, services or systems. This typically includes — applications, infrastructure, documentation, processes, configuration items, suppliers.
Activities may include — but are not limited to:
- managing the lifecycle of change requests — registering, assessing, authorising, planning, deploying
- assessing risks and reducing risks to the availability, performance, security and compliance of the products and services impacted by the change
- developing processes for standard, normal or emergency changes
- developing methods and tools to automate change control processes to enable continuous integration.
",Development and implementation,Data and analytics,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
16 - Competency assessment,LEDA,"Assessing knowledge, skills, competency and behaviours by any means, whether formal or informal, against frameworks such as SFIA.","Assessments may be performed in many contexts such as — but not limited to — recruitment, career progression, professional development planning or accreditation/certification. 
Activities may include — but are not limited to:
- evaluating and selecting assessment options
- adopting or adapting assessment methods, tools, and techniques
- taking into account the context of the assessment and how the results of the assessment will be used
- aligning assessments with ethical, legal and regulatory requirements. 
Ethical, legal and regulatory requirements are necessary to ensure the integrity of assessments and when handling personal data.",Development and implementation,Data and analytics,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
17 - Configuration management,CFMG,"Planning, identifying, controlling, accounting for and auditing of configuration items (CIs) and their interrelationships.","Configuration items (CIs) can include a wide variety of components (objects) such as — but not limited to — source code, software, products, systems, hardware, networks, buildings, suppliers, process definitions and documents. A coherent set of CIs forms a configuration.
Activities may include — but are not limited to:
- identifying and documenting the functional and physical characteristics of CIs
- identifying the relationships and maintain coherence between CIs for specific configurations
- identifying the associated configuration(s), status, version and other characteristics of CIs at distinct points in time
- controlling changes to CI characteristics, recording and reporting change processing and implementation status
- systematically controlling changes to a configuration and maintaining the integrity, coherence, and traceability of that configuration throughout the project, system and/or service life cycle
- adhering to established safety, security and quality standards
- verifying and auditing CI records for data quality and compliance with specified internal and external requirements.
",Development and implementation,Data and analytics,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
18 - Consultancy,CNSL,"Providing advice and recommendations, based on expertise and experience, to address client needs.","Consultancy may deal with one specialist subject area, or be wide ranging and address strategic business issues. May also include support for the implementation of any agreed solutions.
Activities include — but are not limited to:
- leading and managing a consultancy practice
- leading and managing consultancy teams and/or consultancy assignments
- delivering consultancy assignments.
The Consultancy skill defined in SFIA applies to the delivery of consultancy as part of formal or informal consultancy agreements. 
SFIA describes the general provision of advice, guidance or problem solving related to an individual's responsibilities by:
- the responsibilities described by the SFIA generic attributes
- the SFIA professional skill descriptions which make reference to providing advice and guidance.
",Development and implementation,Data and analytics,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
19 - Content authoring,INCA,"Planning, designing and creating textual information, supported where necessary by graphical content.","Content may be delivered via digital, print, or other media.
Activities may include — but are not limited to:
- understanding the requirements of the intended audience in collaboration with clients and/or representatives of the intended audience
- applying the principles of authoring, designing, controlling, and presenting textual information
- taking into consideration how information may be presented, identified, and searched for
- managing the authoring process and the interaction with editorial and publication processes
- gathering source information and creating draft content
- identifying appropriate illustrations or graphics
- understanding and applying copyright rules and related legal issues
- creating and using guidelines to present information clearly, concisely, and accurately
- designing collections of artefacts, spread across multiple media.
",Development and implementation,Data and analytics,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
20 - Content publishing,ICPM,"Managing and continually improving the processes that collect, assemble and publish content.","Information content may be in structured, unstructured or semi-structured forms.
Activities may include — but are not limited to:
- understanding the requirements of the organisation and the desired audience
- evaluating different publishing methods and options, and their costs, features and benefits — including open source and proprietary options
- developing and implementing a framework for content publishing, including preferred media, overall information structure, and rules for formatting content
- converting content into a format suitable for publication
- delivering content to the user at the point of need
- managing copyright, data protection and other legal issues associated with publishing and re-using published information and data
- ensuring published material is in a form accessible to all potential users, including those with disabilities
- releasing or retiring content.
",Development and implementation,Data and analytics,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
21 - Continuity management,COPL,"Developing, implementing and testing a business continuity framework.","Activities may include — but are not limited to:
- identifying potential threats and assessing their business impact
- developing plans and procedures to respond to an incident
- ensuring critical business functions can continue with a planned level of disruption
- ensuring an acceptable level of service can be restored after a disruption
- developing organisational resilience
- assuring that continuity is being designed into systems, processes and ways of working
- implementing continuity management practices for cloud-based services
- enabling continuous delivery, deployment and integration of applications and infrastructure without adverse impact or disruption to service.
Incidents have a variety of causes, including — but not limited to — cyber-attacks, data breaches, organised crime, fires, floods, natural disasters, pandemics, health emergencies and supply chain failure.",Development and implementation,Data and analytics,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
22 - Contract management,ITCM,Managing and controlling the operation of formal contracts for the supply of products and services.,"Activities may include — but are not limited to:
- managing contract creation, execution, and analysis
- recommending actions to optimise financial and operational performance and minimise risk
- contract management for cloud-based services.
",Development and implementation,Data and analytics,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
23 - Customer service support,CSMG,Managing and operating customer service or service desk functions.,"Customer service support can be managed and delivered through various channels including — but not limited to — teams of people in a single location, virtual teams of people in many locations, automated technology and service bots.
Activities may include — but are not limited to:
- managing customer service functions and teams
- acting as a point of contact for users and customers
- responding to reported issues
- handling requests for information
- handling requests for access to applications, systems, services
- responding to service requests.
",Development and implementation,Data and analytics,"1 - Follow,2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
24 - Data engineering,DENG,"Designing, building, operationalising, securing and monitoring data pipelines and data stores.","Activities may include — but are not limited to:
- identifying data sources, data processing concepts and methods
- evaluating, designing and implementing on-premise, cloud-based and hybrid data engineering solutions
- structuring and storing data for uses including — but not limited to — analytics, machine learning, data mining, sharing with applications and organisations
- harvesting structured and unstructured data
- integrating, consolidating and cleansing data
- migrating and converting data
- applying ethical principles in handling data
- ensuring appropriate storage of data in line with relevant legislation
- building in security, compliance, scalability, efficiency, reliability, fidelity, flexibility and portability.
",Development and implementation,Data and analytics,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
25 - Data management,DATM,"Developing and implementing plans, policies, and practices that control, protect and optimise the value of data assets.","Activities may include — but are not limited to:
- managing data and information in all its forms
- analysing information structures including — but not limited to — logical analysis of taxonomies, data and metadata
- developing innovative ways of managing the information assets of the organisation
- developing plans, policies and practices related to areas including — but not limited to — classification, storage, security, quality, sharing, availability, retrieval, retention and publishing
- ensuring data is appropriately stored and archived, in line with relevant legislation
- implementing data management practices for cloud-based services
- applying ethical principles when handling data.
",Development and implementation,Data and analytics,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
26 - Data modelling and design,DTAN,Developing models and diagrams to represent and communicate data requirements and data assets.,"Data modelling supports activities such as — but not limited to:
- helping organisations understand their data assets, developing software systems, and the relationships between real-world entities
- data engineering, integration and interoperability
- data retrieval
- data governance and master data management.
There is a range of different types of data models. However they typically contain the same components — entities, relationships, attributes and domains.
Types of data models include — but are not limited to — relational, object-oriented, NoSQL, time-based.
Data models are used to communicate different levels of detail — conceptual, logical and physical. ",Development and implementation,Data and analytics,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
27 - Data science,DATS,"Applying mathematics, statistics, data mining and predictive modelling techniques to gain insights, predict behaviours and generate value from data.","Data science is typically used for analysing high volume, high velocity and high variety data (numbers, symbols, text, sound and image).
Activities may include — but are not limited to:
- integrating methods from mathematics, statistics and probability modelling using specialised programming languages, tools and techniques
- sourcing and preparing data for analysis
- identifying, validating and exploiting internal and external data sets generated from a diverse range of processes
- developing forward-looking, predictive, real-time, model-based insights to create value and drive effective decision-making
- finding, selecting, acquiring and ingesting data sources,
- integrating and cleaning data to make it fit for purpose
- developing hypotheses and exploring data using models and analytics sandboxes
- refining requirements, validating, training and evolving models over time to discover deeper insights, make predictions, or generate recommendations.
- using advanced analytic techniques including — but not limited to — data/text mining, machine learning, pattern matching, forecasting, visualisation, semantic analysis, sentiment analysis, network and cluster analysis, multivariate statistics, graph analysis, simulation, complex event processing, neural networks.
",Development and implementation,Data and analytics,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
28 - Data visualisation,VISL,"Facilitating understanding of data by displaying concepts, ideas, and facts using graphical representations.","Activities may include — but are not limited to:
- condensing and encapsulating data characteristics, making it easier to surface opportunities, identify risks, analyse trends, and drive effective decision-making
- presenting findings and data insights in creative ways to facilitate the understanding of data across a range of technical and non-technical audiences.
The skill is typically put into practice by using specialist analytics tools. Specialisation in this skill implies a requirement to use more than just standard office software to create graphical representations of simple data.",Development and implementation,Data and analytics,"3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
29 - Database administration,DBAD,"Installing, configuring, monitoring, maintaining and improving the performance of databases and data stores.","Activities may include — but are not limited to:
- designing operational databases
- designing on-premise or cloud-based databases
- defining physical or virtual data warehouse structures required to support machine learning, business intelligence or data analytics services
- designing operational data stores to integrate data from multiple sources to support data pipelines and enable additional operations on the data.
",Development and implementation,"Governance, risk and compliance","2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
30 - Database design,DBDS,"Specifying, designing and maintaining mechanisms for storing and accessing data.","Activities may include — but are not limited to:
- designing operational databases
- designing on-premise or cloud-based databases
- defining physical or virtual data warehouse structures required to support machine learning, business intelligence or data analytics services
- designing operational data stores to integrate data from multiple sources to support data pipelines and enable additional operations on the data.
",Development and implementation,"Governance, risk and compliance","3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
31 - Demand management,DEMM,Analysing and proactively managing business demand for new services or modifications to existing service features or volumes.,"Activities may include — but are not limited to:
- collaborating with the business to prioritise demand to improve business value
- developing and communicating insights into patterns of demand
- performing what-if analyses and scenario planning to develop insights and proposals to improve business value
- proposing responses to meet both short-term and long-term demand and facilitating decision-making and planning
- integrating demand analysis and planning with complementary strategic, operational and change planning processes.
",Development and implementation,"Governance, risk and compliance","""5 - Ensure, advise"",""6 - Initiate, influence""",,,
32 - Digital forensics,DGFS,Recovering and investigating material found in digital devices.,"Activities may include — but are not limited to:
- collecting, processing, preserving and analysing material
- presenting forensic evidence based on the totality of findings.
The scope of digital forensics includes finding evidence on computers and any device capable of storing digital data. The evidence may be used in support of security vulnerability mitigation, criminal, fraud, counterintelligence, or law enforcement investigations.",Relationships and engagement,"Governance, risk and compliance","3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
33 - Emerging technology monitoring,EMRG,"Identifying and assessing new and emerging technologies, products, services, methods and techniques.","Activities may include — but are not limited to:
- assessing relevance and potential impacts — which may be threats or opportunities
- communicating the impact of emerging technologies. 
Assessments may relate to business enablers, cost, performance or sustainability",Relationships and engagement,"Governance, risk and compliance","4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
34 - Employee experience,EEXP,"Enhancing employee engagement and ways of working, empowering employees and supporting their health and wellbeing.","Activities may include — but are not limited to:
- providing opportunities for personal growth and learning
- providing sufficient personal freedom to decide how to achieve work objectives, with support available when needed
- supporting different views, working styles and behaviours within the work environment
- providing a safe and secure working environment with the resources needed to do the job
- providing transparent communications and building trust in leadership
- providing a holistic approach in support of mental and physical well being.
Note that the term employee is not limited to specific terms of employment. Depending on the employer it may include temporary and contract staff as well as salaried employees.",Relationships and engagement,"Governance, risk and compliance","4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
35 - Enterprise and business architecture,STPL,"Aligning an organisation's technology strategy with its business mission, strategy, and processes and documenting this using architectural models.","Enterprise architecture is typically considered across four domains: business, data, applications and infrastructure technologies. It may also include information security or legal and regulatory compliance.
Activities may include — but are not limited to:
- translating business strategies and objectives into an operating model
- assessing current capabilities and identifying required changes in capabilities to achieve objectives
- describing the interrelationships between people, organisation, service, process, data, information, technology and the external environment
- creating, iterating, and maintaining architectural models and views embodying the key principles that describe the organisation's future state, and that enable its evolution
- implementing enterprise architecture working practices to support and enable iterative/agile working
- interpreting business goals and drivers
- documenting and communicating constraints, standards and guiding principles necessary to define, assure and govern the required evolution
- using architectural models and processes to facilitate changes in the organisation's structure, business processes, information or data, business systems and infrastructure
- describing where and why the enterprise will benefit from cloud-based services.
",Relationships and engagement,Security and privacy,"""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
36 - Facilities management,DCMA,"Planning, designing and managing the buildings, space and facilities which, collectively, make up the IT estate.","Activities may include — but are not limited to:
- using data centre management tools
- provisioning and managing the physical environment, including power, space, and cooling
- adhering to established safety, security and quality standards
- monitoring the environment and providing statistics on energy usage
- controlling physical access
- adhering to mandatory policies and regulations concerning health and safety at work.
",Strategy and architecture,Security and privacy,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
37 - Feasibility assessment,FEAS,"Defining, evaluating and describing business change options for financial, technical and business feasibility, and strategic alignment.","Activities may include — but are not limited to:
- generating and defining options
- ensuring options align with the organisation’s vision, mission, objectives, strategy and tactics
- engaging with relevant stakeholders and specialists
- evaluating options for financial, technical and business feasibility.
Feasibility assessment is multi-dimensional. Options for change must be evaluated from several dimensions including — but not limited to — financial, technical, organisational capability and culture, strategic context, economic and/or commercial environment.
Feasibility assessment typically results in a documented business case used to support organisational decision-making about proposed investments. This skill is focused on the generation, analysis and documentation of investment options.",Strategy and architecture,Security and privacy,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
38 - Financial management,FMIT,Supporting the effective use and control of financial resources.,"This skill usually applies to specialist financial management roles — not to managers responsible for their own operational or project budgets.
Financial management needs to be aligned with business strategies and to working practices in areas including — but not limited to — governance, risk management, portfolio, programme and project management, asset management.
Activities may include — but are not limited to:
- financial management, control, and stewardship of assets and resources
- supporting decision-making
- budgeting, forecasting, and accounting for financial resources
- financial management for consumption based costs such as cloud-based services
- implementing financial management practices to support iterative/agile working
- developing service, projects and component cost models
- defining charging models for the provision of services 
- applying accounting standards and policies and ensuring compliance with governance, legal and regulatory requirements.
",Strategy and architecture,Security and privacy,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
39 - Governance,GOVN,"Defining and operating a framework for making decisions, managing stakeholder relationships, and identifying legitimate authority.","Governance can be applied to specific activities or may be a single integrated framework across an organisation.
Specialisms include — but are not limited to — security, information, technology, architectures, enterprise IT, service management.
An organisation’s obligations may be external or internal including — but not limited to — legislative, regulatory, contractual and adherence to agreed standards/policies or ethical frameworks. 
Activities may include — but are not limited to:
- defining and operating the system of rules, practices, and processes by which an organisation makes decisions, manages stakeholders’ relationships, and identifies legitimate authority
- determining how to direct, evaluate and monitor an organisation’s activities
- developing and operating strategic and operational frameworks, policies, decision-making, business processes and plans to meet stakeholder requirements.
Governance is explicitly referenced in many SFIA skills. Professionals may contribute specialist knowledge to governance processes, reviews and developments — but that does not imply they need the SFIA skill of Governance.",Strategy and architecture,Security and privacy,"""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
40 - Hardware design,HWDE,Specifying a hardware design model for a defined system architecture.,"Examples of computing and communications equipment include — but are not limited to — semiconductor processors, high performance computing (HPC) architectures and digital signals processor (DSP) and graphics processor chips.
Activities may include — but are not limited to:
- defining how hardware components fit into the system and integrate with software if required
- selecting, designing, specifying, integrating and prototyping of hardware components
- adhering to industry standards including compatibility, safety, security, reliability and sustainability
This is typically related to the integration with, or connection to, an IT infrastructure or network.",Strategy and architecture,Security and privacy,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence""",,,
41 - High-performance computing,HPCC,Using advanced computer systems and special programming techniques to solve complex computational problems.,"High-performance computing (HPC) is the use of super computers and parallel processing techniques for solving complex computational problems. HPC technology focuses on developing parallel processing algorithms and systems.
High-performance computing is typically used for solving advanced problems and performing research activities through computer modelling, simulation and analysis. 
HPC technology is implemented in a variety of disciplines including — but not limited to:
- biosciences and molecular modelling
- geographical data
- oil and gas exploration
- climate modelling and weather forecasting
- physical simulations
- cryptanalysis.
The terms high-performance computing and supercomputing are sometimes used interchangeably.",Strategy and architecture,Skills management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
42 - Incident management,USUP,"Coordinating responses to incident reports, minimising negative impacts and restoring service as quickly as possible.","Activities may include — but are not limited to:
- designing and implementing different processes and procedures for different categories of incidents including — but not limited to — major incidents, information or cybersecurity incidents, complex incidents, low impact incidents
- establishing incident response teams or security incident response teams
- routing requests for help to appropriate functions for resolution
- monitoring resolution activity
- informing users, customers and key stakeholders of progress towards service restoration.
Incidents can impact many areas — such as but not limited to — business operations, information security, IT systems, services, employees, customers, or other vital business functions. 
Different roles/groups may be needed to diagnose and resolve incidents — such as — users, subject matter experts, service desk, support teams, suppliers, partners. Although they play a part in the incident management process, they do not necessarily need incident management skills.",Strategy and architecture,Skills management,"2 - Assist,3 - Apply,4 - Enable,""5 - Ensure, advise""",,,
43 - Information assurance,INAS,"Protecting against and managing risks related to the use, storage and transmission of data and information systems.","Activities include — but are not limited to:
- management of risk in a pragmatic and cost-effective manner to ensure stakeholder confidence
- formal system certification and accreditation
- technical assessment and evaluation to determine control effectiveness.
Information and data are typically protected by following five principles:
- availability — ensuring that authorised users can easily access the information they need
- integrity — protecting information from unauthorised modification, retrieval or deletion
- authenticity — validating the identity of users and devices
- confidentiality — restricting access to authorised users only
- non-repudiation — preventing possible denial that an action occurred by ensuring data is true to its origin.
",Strategy and architecture,Skills management,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
44 - Information management,IRMG,"Planning, implementing and controlling the full life cycle management of digitally organised information and records.","Information and records are held in many forms including — but not limited to — digital documents, printed material, microform, e-mail, chats and websites. Information may be structured or unstructured and may be created by internal or external sources.
Specific laws and regulations may require organisations to maintain records of certain business activities and transactions for a minimum period.
Activities may include — but are not limited to:
- identifying, classifying, valuing, processing, storing, archiving, destroying information and records
- governance of how information is used to support decision-making, business processes and digital services
- developing and promoting strategies and policies for the design of information architectures, structures and taxonomies
- capturing and maintaining evidence of and information about business activities and transactions in the form of records
- implementing systems of cataloguing, metadata, indexing, and classification standards and methods used to organise recorded information
- ensuring compliance with legal obligations.
",Strategy and architecture,Skills management,"4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
45 - Information security,SCTY,Defining and operating a framework of security controls and security management strategies.,"The purpose of security controls and management strategies is to:
- maintain the security, confidentiality, integrity, availability, accountability of information systems
- ensure information systems comply with legislation, regulation and relevant standards.
Activities may include — but are not limited to:
- selecting, adopting and adapting security control frameworks
- designing, justifying and implementing security management strategies
- identifying risks with technical solution architectures
- ensuring security principles are applied during design and development to reduce risk.
Examples of types of security controls include — but are not limited to:
- physical controls 
- procedural or administrative controls 
- technical or logical controls 
- legal and regulatory or compliance controls.
These activities are typically performed in collaboration with specialists in other areas including — but not limited to — legal, technical infrastructure, audit, architecture, software engineering.",Strategy and architecture,Sales and marketing,"3 - Apply,4 - Enable,""5 - Ensure, advise"",""6 - Initiate, influence"",""7 - Set strategy, inspire, mobilise""",,,
